Question ID,Exam,Questions,Option A,Option B,Option C,Option D,Answer,Explanation,Subject,Topic,Subtopic,Classification Status
Q001066,67th RE-EXAM BPSC,Which of the following forms of permanent settlement was prevalent in Bihar?,Landowners were given the ownership rights of the land.,The hereditary right to land was voluntarily implemented for the landlords.,Constitutional nature of land revenue (Lagaan),Zamindari abolition,(B) (B) The hereditary right to land was voluntarily implemented for the landlords.,"Cornwallis is called the father of Permanent Settlement. The reason for implementing the Permanent Settlement in Bihar was for the landlords to voluntarily transfer hereditary rights over the land. The Permanent Settlement applied to about 19% of the land. Which had an impact on Bihar, Orissa and Bengal.

47th BPSC",Geography,Rivers,Founder of Pataliputra,CLASSIFIED
Q001067,67th RE-EXAM BPSC,The last phase of elections was held in Bihar in February 2005 –,For 93 seats,For 82 seats,For 73 seats,None of these,(A) (A) For 93 seats,"The total number of seats in Bihar Assembly is 243. In the assembly elections held in the year 2005, voting was held for a total of 93 seats for the final phase.

B of the above question is correctly matched.

• Plains of North and North-Eastern Bihar – 29.87%
• Plains of South Bihar – 23.71%
• Chhotanagpur Plateau – 26.14%
• Chhotanagpur Hills – 20.27%",Bihar Economy,Agriculture,Agro-climatic zones,CLASSIFIED
Q001068,67th RE-EXAM BPSC,"Correlate List-I (agro-climatic zones) with List-II (percentage area of Bihar) and select the correct answer using the codes given below the lists - List-I (Agro-climatic Zone) (a) Plains of North and North-Eastern Bihar (b) Plains of South Bihar (c) Chhotanagpur Plateau (d) Chhotanagpur hills List-II (Percentage area of Bihar) 1. 29.87% 2. 23.71% 3. 26.14% 4. 20.28% Code : 348. Consider the following statements regarding various geographical aspects of Bihar 1. The contribution of agriculture in the domestic production of Bihar is about 67 percent. 2. The silk industry in Bihar provides selfemployment to more than 150,000 people. 3. Every year about 47 lakh acres of land gets flooded in Bihar. Whereas 10 lakh acres always remain water-logged. 4. 85 to 90 percent of rural families in Bihar have less than 5 acres of land each. Which of these statements is correct?",2 and 4,1 and 2,2 and 3,3 and 4,(C) (C) 2 and 3,"Bihar is an agricultural state. In the year 2004-05, the contribution of agriculture in the total gross -domestic product of the state was 47.41%. About 25 districts of North Bihar suffer from flood problem every year. Every year 47 lakh hectares of land gets flooded and 10 lakh hectares of land always faces the problem of water logging.",Geography,Floods,Flood area and waterlogged land,CLASSIFIED
Q001069,67th RE-EXAM BPSC,Which of the following statements is not correct regarding irrigation in Bihar?,About 46 percent of the total sown area of Bihar is irrigated.,About 30 percent of the total irrigated area of Bihar is irrigated by canals and 39 percent by tube wells.,"Maximum area irrigated by canals is found in Bhojpur, Aurangabad, West Champaran, Rohtas and Munger districts","The maximum area irrigated by tube wells is found in Samastipur, Sitamarhi, Begusarai, Muzaffarpur, Gopalganj and Khagaria districts.",(B) (B) About 30 percent of the total irrigated area of Bihar is irrigated by canals and 39 percen by tube wells.,"According to the data of year 2004-05, about 46% of the land of Bihar is irrigated. In Bihar, about 37% of the total irrigated land is irrigated by canals while 30% is irrigated by tube wells.",Geography,Rivers,Kosi River,CLASSIFIED
Q001070,67th RE-EXAM BPSC,"About 55 percent of the population of Bihar lives in extreme poverty, because 1. Bihar lacks natural resources, both present and potential. 2. Bihar has the highest total fertility rate in India. 3. The agro-climatic conditions of Bihar are extremely adverse. 4. Bihar lacks quality infrastructure and business friendly environment. Which of these statements are correct?",1 and 2,2 and 3,2 and 3,"1, 3 and 4",(C) (C) 2 and 3,About 55 percent of the population of Bihar lives below the poverty line. The main reason for which is high fertility rate and lack of quality infrastructure. The problem of migration is also high in Bihar as well as there is a lack of employment related education.,Bihar Economy,Agriculture,Total Fertility Rate,CLASSIFIED
Q001071,67th RE-EXAM BPSC,"According to the census of 2001, which of the following group of districts of Bihar shows the correct descending order of population density?","Darbhanga, Samastipur, Siwan, Saran","Siwan, Saran, Darbhanga, Samastipur","Saran, Darbhanga, Samastipur, Siwan","Darbhanga, Saran, Siwan, Samastipur","(D) (D) Darbhanga, Saran, Siwan, Samastipur According to the census of 2001, the correct descending order of population density of Bihar is as follows – Darbhanga – Saran – Siwan – Samastipu","• According to the 2011 census, the district with the highest population density is Sheohar.

Option (A) of the above question is correctly matched.

▪ The longest national highway of Bihar is NH 31.
▪ The national highway passing through Bihar is NH 2.
▪ The highway which does not pass through Bihar is NH 12.

The longest highway in India is NH 44 which connects Srinagar to Kanyakumari. Its total length is 3745 km.",History of Bihar,Champaran Satyagraha,Population Density,CLASSIFIED
Q001072,67th RE-EXAM BPSC,"Correlate List-I (characteristics of National Highways) with List-II (number of National Highways) and select the correct answer using the codes given below the lists- List-I (Features of National Highways) (a) National Highway passing through Bihar (b) National Highway, which does not pass through Bihar (c) The longest national highway in Bihar (d) Proposed National Highway which is not for Bihar List-II (Number of National Highways) 1. National Highway No. 12 2. National Highway No. 87 3. National Highway No. 2 4. National Highway No. 31 353. Rivers which form the boundary line between Bihar and Uttar Pradesh?","Budhi Gandak, Son and Bagmat","Budhi Gandak, Kosi and Ganga","Gandak, Ghagra and Ganga","North Koel, Ajay and Punpun",(C) (C) Karmanasha. Gandak and Ghaghra,"Karmanasha River, Gandak River, Ghaghra River and Ganga River form the border between Uttar Pradesh and Bihar. Karmanasha is also known as inauspicious river. A total of 8 districts of Bihar share border with Uttar Pradesh.",General Mental Ability & CSAT,Coding-Decoding,National Highway Features,CLASSIFIED
Q001073,67th RE-EXAM BPSC,What is the birth rate (per thousand) in Bihar as per the year 2002?,7.9,30. 9,20.9,26.6,(B) (B) 30.9,According to the data released by Bihar government the child birth rate in Bihar was 30.9 percent in the year 2002. Kerala has the lowest birth rate in India. According to 2011 census the sex ratio of Bihar is 918/1000. While the child sex ratio is 935,Bihar Economy,Development,Birth Rate (2002) - Data,CLASSIFIED
Q001074,67th RE-EXAM BPSC,"The estimated reserves of coal in Bihar as on January 1, 2003 were (in million tonnes)-",260,360,160,210,(C) (C) 160,"According to Bihar Budget 2002, the estimated reserves of coal in Bihar were 160 million tonnes. After the division of Jharkhand from Bihar in the year 2000 most of the mineral resources went to Jharkhand' share. At present, the storage of coal in Bihar is negligible.",Bihar Economy,Minerals,Coal Reserves (2003) - Million Tonnes,CLASSIFIED
Q001075,67th RE-EXAM BPSC,The ratio of agricultural workers in the total labor force of Bihar is-,40.18,48.18,29.17,46.18,(B) (B) 48.18,"According to the 2001 census, the proportion of agricultural workers in the labor force of Bihar is about 48 percent.",Bihar Economy,Agriculture,Agricultural Workers Ratio,CLASSIFIED
Q001076,67th RE-EXAM BPSC,Which state of India produces the most mica?,Madhya Pradesh,Bihar,Orissa,Jammu and Kashmir,(B) (B) Bihar,"The highest mica producing state in India is Andhra Pradesh but according to the given option, the highest mica producing state in India is Bihar. At present India ranks first in the world in the production of mica.",Geography,Minerals,Mica Production - State,CLASSIFIED
Q001077,67th RE-EXAM BPSC,Which area of India was famous for poppy production during the British rule?,Bihar,South India,Gujarat,Assam,(A) (A) Bihar,"During the 18th century, Bihar and part of Bengal were famous for opium production. Opium was produced in large quantities especially in Bihar.",History of Bihar,Sher Shah Suri,Poppy Production - British Rule,CLASSIFIED
Q001078,67th RE-EXAM BPSC,Which British commander did the Santhals defeat in 1855 AD?,Captain Nec Faville,Lieutenant Bastin,Major Baro,Colonel Haight,(C) (C) Major Baro,"The Santhal rebellion took place in 1855-56 under the leadership of Sidhu-Kanhu. Although the expansion of this rebellion was in the areas of Bihar and Bengal, but the main area of influence of this rebellion was Santhal Pargana. To suppress this rebellion, 10 army units were sent under the leadership of Major Baro, but Major Baro's army had to be defeated in this rebellion. After this, troops were sent under the leadership of Thomson and Alexander. Who had brutally suppressed this rebellion.",History of Bihar,Sher Shah Suri,Santhal Defeat (1855 AD) - Commander,CLASSIFIED
Q001079,67th RE-EXAM BPSC,"When did Babu Kunwar Singh, the leader of the revolution of 1857 in Bihar die?","April 10, 1858","June 17, 1858","May 9, 1858","April 26, 1858","(D) (D) 26 April, 1858","Veer Kunwar Singh was born in Jagdishpur, Bihar in 1777. Kunwar Singh had fiercely opposed the British army during the revolution of 1857. He died on 26 Apri 1858. After his death, his brother Amar Singh played an important role in the revolution of 1857.",History of Bihar,Revolt of 1857,Babu Kunwar Singh - Death Year,CLASSIFIED
Q001080,67th RE-EXAM BPSC,"Name the revolutionary from Bihar who participated in the meeting of 'Hindustan Socialist Republican Army' in September, 1928?",Phanindranath Ghosh,Ajay Ghosh,Jyotindra Nath,Bhagat Singh,(A) (A) Phanindranath Ghosh,The Hindustan Socialist Republican Army was established in 1928 AD at the Ferozeshah Kotla ground in Delhi. This was a revolutionary organization. The revolutionary person who attended the meeting of this organization from Bihar was Phanindranath Ghosh.,History of Bihar,Hindustan Socialist Republican Army,Revolutionary - Name,CLASSIFIED
Q001081,67th RE-EXAM BPSC,Who presided over the Delhi session of the Indian National Congress in 1947?,J. B. Kripalani,Dr. Rajendra Prasad,Abul Kalam Azad,Jawaharlal Nehru,(B) (B) Dr. Rajendra Prasad,"After independence, the special session of the Indian National Congress was presided over by Rajendra Prasad. At the time of India's independence on 15 August 1947, the national president of Congress was J.B. Kripalani. On 24 January 1950, Rajendra Prasad was unanimously elected the first President of India by the Constituent Assembly.",History of India,Indian National Movement,Delhi Session of 1947 Indian National Congress,CLASSIFIED
Q001082,67th RE-EXAM BPSC,At which place in Bihar was the 1922 session of the Indian National Congress held?,Haripura,Patna,Gaya,Ramgarh,(C) (C) Gaya,"The session of the Indian National Congress was held in Gaya in 1922, which was presided over by Deshbandhu Chittaranjan Das. In the year 1923, Chittaranjan Das along with Motilal Nehru founded the Swaraj Party.

CDPO (15.05.2022)",History of Bihar,Champaran Satyagraha,1922 session of Indian National Congress,CLASSIFIED
Q001083,67th RE-EXAM BPSC,In which year was cow slaughter banned by law in Bihar?,1948,1949,1954,1955,(D) (D) 1955,"Cow slaughter was banned by the Bihar Protection and Animal Improvement Act 1955. Under this, slaughter of cow and calf is completely banned. There is a provision for imprisonment or fine or both.",Bihar Economy,Agriculture,Cow Slaughter Ban,CLASSIFIED
Q001084,67th RE-EXAM BPSC,Who among the following has served as the Governor of Bihar twice?,Akhlaqur Rahman Kidwai,Mohammad Yunus Saleem,Mohammad Shafi Qureshi,Zakir Hussain,(A) (A) Akhlaqur Rehman Kidwai,"The first Governor of Bihar is Jairamdas Daulatram and the current Governor is Shri Fagu Chauhan.

Governor

Time period

Dr. Zakir Hussain

- 1957-62

Akhlaq-ur-Rehman Kidwai - 1979-85 and 1993-98

Mohammad Yunus Salim - 1990-91

Mohammad Shafi Qureshi - 1991-93",Indian Polity,Union Government,Governor of Bihar,CLASSIFIED
Q001085,67th RE-EXAM BPSC,Who was the first non-Congress Chief Minister of Bihar?,Karpuri Thakur,Mahamaya Prasad Sinha,Ram Sunder Das (D) Lalu Prasad Yadav,,(B) (B) Mahamaya Prasad Sinha,"The first non-Congress Chief Minister of Bihar was Shri Mahamaya Prasad Sinha, whose tenure was from 5 March 1967 to 28 January 1968. He was also the first independent Chief Minister of Bihar.

• First Chief Minister of Bihar –Dr. Shri Krishna Singh
• First Harijan Chief Minister of Bihar – Bhola Paswan Shastri
• First Muslim Chief Minister of Bihar – Abdul Ghafoor
• Chief Minister of Bihar with shortest tenure - Satish Prasad Singh",History of Bihar,Sher Shah Suri,First Non-Congress Chief Minister,CLASSIFIED
Q001086,67th RE-EXAM BPSC,The rural literacy rate of Bihar is -,25%,33.9%,38%,43.9%,(E) None of the above / More than one of the above,"• Literacy rate in Bihar – 61.80%
• Male literacy rate in Bihar – 71.20%
• Female literacy rate in Bihar – 51.50%
• Rural literacy rate in Bihar – 59.78%
• Urban literacy rate in Bihar – 76.86%",Bihar Economy,Human Development,Rural Literacy Rate of Bihar,CLASSIFIED
Q001087,67th RE-EXAM BPSC,Jharkhand was an integral part of Bihar -,In 1999,In 2003,In 2001,In 2002,(A) (A) in 1999,Jharkhand was formally separated from Bihar on 15 November 2000 and became the 28th state of India,Bihar Economy,Infrastructure,Jharkhand as Part of Bihar,CLASSIFIED
Q001088,67th RE-EXAM BPSC,What is ‘Teenkathiya’ system in Bihar?,Education method,Employment method,Agricultural method,Alms method,(C) (C) Agricultural method,"The teen kathia System was an economic policy implemented in India, especially in Eastern India and Bihar, which was related to agricultural production. This system was ended by the Champaran Satyagraha under the leadership of Gandhiji. The word Teen Kathia means three katha which is a unit of measurement for land used in India.",Bihar Economy,Industries,Teenkathiya System,CLASSIFIED
Q001089,67th RE-EXAM BPSC,Who was given the title of 'Loknayak'?,Lalu Prasad Yadav (B) Karpuri Thakur,,Jai Prakash Narayan (D) Nitish Kumar,,(C) (C) Jaiprakash Narayan,The title of Loknayak has been given to Jai Prakash Narayan. He was a freedom fighter and socialist leader He led a total revolution in the 1970s. He also received Bharat Ratna posthumously (1999) and the Magsaysay Award for public service in 1965. Nationalist Hindi litterateur Ramvriksh Benipuri has written his biography 'Jayaprakash'.,Bihar Economy,Agriculture,Loknayak,CLASSIFIED
Q001090,67th RE-EXAM BPSC,‘Saat Nischay Yojana’ campaign was started by the state government for sustainable development in Bihar?,In 2014,In 2013,In 2015,In 2012,(C) (C) in 2015,Bihar Chief Minister Nitish Kumar had launched the Saat Nischay Yojana in the year 2015. Through this social and economic development is being promoted in the state. Seven Sureties Part-2 is its further strategy.,Bihar Economy,Bihar Budget,Teenkathiya System,CLASSIFIED
